"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"O. Goodman","England 4.","AFC Wimbledon","GK","22","500000","2026-06-30","49","4824","0","0","0","0","England","left","193","1.47","0.09","80","0.15","87.5","0","1.96","0","0","0","0","0","0","0","0","0","0","0","0.04","100","0","0","0","17.89","77.79","12.87","70.14","10.84","65.75","0","0","0","5.62","61.79","0.32","5.88","0.02","7.91","85.85"
"J. Neufville","England 4.","AFC Wimbledon","RWB","24","275000","2028-06-30","49","4702","5","3.74","5","4.6","England","right","183","6.55","4.88","63.14","2.2","45.22","0.06","4.62","4.34","0.1","0.07","0","0.71","35.14","13.514","3.6","39.89","4.19","63.01","7.27","44.74","1.82","2.05","0.27","24.14","67.25","6.72","49.86","2.89","41.06","0.09","0.02","0.44","2.45","45.31","2.93","48.37","0.57","5.3","61.01"
"A. Smith","England 4.","AFC Wimbledon","LCMF, RCMF, DMF","26","250000","2027-06-30","48","4656","6","4.46","2","1.62","England","right","193","8.18","5.35","70.76","3.27","53.85","0.21","5.97","0.95","0.12","0.09","0","1.12","32.76","10.345","0.43","22.73","0.68","57.14","4.85","35.46","1.01","0.29","0","36.44","79.73","11.44","60.14","3.6","39.25","0.03","0.21","0.14","5.97","65.37","1.26","44.62","0.56","5.43","65.48"
"M. Platt","England 4.","Notts County","CB","28","275000","2026-06-30","47","4655","2","1.82","0","0.5","England","right","188","8.55","4.66","72.2","5.78","68.23","0.46","8.39","0.29","0.04","0.04","0","0.29","46.67","13.333","0.12","50","0.15","62.5","1.45","46.67","0.48","0.91","0","62.87","88.65","21.81","75.8","5.9","47.21","0.01","0","0.06","5.84","56.62","0.52","25.93","0.19","7.39","59.16"
"T. Allen","England 4.","Walsall","LCB","25","125000","2026-06-30","48","4637","10","4.31","6","7.05","England","left","178","6.48","4.25","69.41","3.71","52.36","0.16","4.35","1.86","0.16","0.08","0.02","1.03","37.74","18.868","2.08","31.78","1.38","57.75","2.97","49.67","0.8","1.36","0.12","34.45","68.51","19.37","61.02","9.53","41.14","0.14","0.02","0.31","8.33","49.65","2.62","41.48","0.5","10.17","65.84"
"M. Macey","England 4.","Colchester United","GK","31","250000","2026-06-30","46","4628","0","0","0","0","England","right","201","1.3","0.06","100","0.29","93.33","0","1.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.84","83.69","8.75","67.56","6.22","55.63","0","0","0","2.39","51.22","0.12","0","0","4.71","70.25"
"F. Marschall","England 4.","Crewe Alexandra","GK","22","800000","","46","4589","0","0.09","0","0.11","England","right","195","1.14","0.08","25","0.63","90.63","0","1.7","0.02","0","0","0","0.02","0","0","0","0","0.02","100","0.16","75","0.02","0","0","22.14","82.91","12.83","72.63","9.65","63.21","0","0","0","3.14","61.25","0.2","10","0.04","7.77","73.48"
"S. Walker","England 4.","Bradford City","GK","34","125000","2027-06-30","46","4574","0","0","0","0","England","right","196","1.61","0","0","0.41","95.24","0","2.39","0","0","0","0","0","0","0","0","0","0","0","0.1","100","0","0","0","16.08","81.4","11","75.31","8.89","70.13","0","0","0","3.07","60.9","0.14","28.57","0.04","7.3","82.48"
"L. McGee","England 4.","Tranmere Rovers","GK","30","200000","2027-06-30","46","4560","0","0","0","0","England","right","193","1.64","0.14","42.86","0.41","90.48","0.02","2.26","0.02","0","0","0","0","0","0","0","0","0.04","50","0.18","77.78","0","0","0","23.31","81.96","16.05","75.15","13.62","70.58","0","0","0","7.22","65.3","0.28","14.29","0.14","10.24","90.17"
"T. Sharman-Lowe","England 4.","Doncaster Rovers","GK","22","300000","2028-06-30","46","4546","0","0","0","0.33","England","right","189","1.82","0.06","100","0.49","96","0","2.65","0.04","0","0","0","0","0","0","0","0","0.04","100","0.18","88.89","0.02","0","0","22.27","86.76","10.71","74.49","7.64","66.32","0.01","0","0.02","4.53","61.14","0.51","15.38","0.12","5.72","84.78"
"L. Gordon","England 4.","Walsall","LWB, LB","26","250000","2027-06-30","47","4535","3","3.4","1","2.48","England","left","183","6.33","4.27","61.4","2.8","34.75","0.2","4.82","3.2","0.06","0.07","0","0.75","34.21","7.895","3.1","21.15","3.61","61.54","6.57","48.34","1.45","2.66","0.36","27.86","70.3","10.14","60.86","3.67","47.03","0.05","0.12","0.32","3.89","62.24","2.8","34.04","0.56","6.19","68.91"
"O. Bailey","England 4.","Doncaster Rovers","RDMF, RCB","26","300000","2027-06-30","46","4517","5","5.23","4","3.26","England","right","180","7.61","5.08","67.84","6.79","53.67","0.48","6.11","0.8","0.1","0.1","0.06","0.86","25.58","11.628","0.5","40","0.78","43.59","3.83","42.19","1.69","0.56","0.08","33.37","79.94","12.91","64.81","3.71","54.84","0.07","0.08","0.26","5.58","63.93","1.16","60.34","0.66","7.07","64.79"
"J. Bedeau","England 4.","Notts County","LCB","26","325000","2027-06-30","46","4494","0","1.63","3","1.96","England","left","182","8.03","5.35","65.17","4.85","49.59","0.66","7.38","1.02","0","0.03","0","0.2","40","0","1.3","20","0.96","68.75","3.14","41.4","0.78","1.94","0.36","55.65","81.68","26.86","73.08","5.61","36.43","0.04","0.08","0.18","8.09","66.09","1.64","40.24","0.58","10.97","66.42"
"G. Smith","England 4.","Bromley","GK","32","0","2026-06-30","45","4477","0","0","0","0","England","left","185","1.81","0.04","0","0.32","81.25","0","2.41","0.04","0","0","0","0","0","0","0","0","0.06","66.67","0.14","71.43","0","0","0","19.26","75.26","16.48","71.71","15.38","70.98","0","0","0.02","8.72","68.89","0.32","6.25","0.02","11.82","89.63"
"W. Wright","England 4.","Swindon Town","RCB, CB","28","275000","","46","4468","7","3.27","3","5.61","England","right","191","8.42","4.33","69.3","4.33","52.56","0.46","8.09","1.19","0.12","0.07","0","0.77","36.84","18.421","1.53","40.79","0.32","62.5","1.29","37.5","0.36","0.99","0.12","45.32","78.13","20.87","65.64","7.8","47.29","0.11","0.14","0.16","8.54","59.91","2.48","46.34","0.58","11.42","67.9"
"D. Okagbue","England 4.","Walsall","RCB, CB","21","125000","2029-06-30","47","4446","2","3.55","4","2.07","Republic of Ireland","right","184","8.16","4.7","70.26","6.96","57.56","0.53","6.21","0.26","0.04","0.07","0","0.38","26.32","10.526","0.18","66.67","0.04","50","0.63","35.48","0.81","0.22","0.02","26.82","71.77","14.88","63.54","7.31","45.98","0.04","0.02","0.12","6.32","55.13","0.89","38.64","0.28","8.2","65.19"
"E. Iandolo","England 4.","Colchester United","LB, LCB","28","125000","2026-06-30","44","4397","1","0.96","2","2.33","England","left","178","9.25","5.87","57.49","5.14","52.59","0.27","8.17","1.51","0.02","0.02","0","0.55","33.33","3.704","2.01","36.73","1","53.06","3.89","40.53","0.74","1.41","0.14","45.01","74.12","22.92","63.75","7.18","42.17","0.05","0.12","0.16","9.27","62.25","2.97","45.52","0.68","12.55","70.15"
