"Player","League","Team ","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Demetriou","League Two 20-21.","Newport County","LCB","35","75000","2026-06-30","48","4770","4","2.45","1","2.48","England","left","188","11","6.49","65.99","10.91","66.44","0.47","9.93","0.77","0.08","0.05","0.06","0.53","35.71","14.286","0.96","35.29","0.42","50","1.09","46.55","0.87","1.53","1.04","41.36","75.05","21.77","64.21","9.19","46.41","0.05","0.13","0.09","8.17","53.58","1.53","25.93","0.25","11.36","68.11"
"P. Clarke","League Two 20-21.","Tranmere Rovers","RCB, LCB","44","0","","48","4678","4","4.58","1","1.08","England","right","188","9.95","5.27","69.34","8.79","63.02","0.73","9.27","0.79","0.08","0.09","0.08","0.69","27.78","11.111","0.13","28.57","0.65","82.35","2.29","57.98","1","0.63","0.19","39.65","81.03","20.64","72.23","9.52","60","0.02","0.02","0.06","7.21","57.07","0.87","40","0.42","9.79","71.71"
"S. Lavelle","League Two 20-21.","Morecambe","RCB","29","275000","2027-06-30","48","4593","1","4.37","0","0.55","England","right","188","8.35","4.72","65.98","7.52","61.98","0.49","6.03","0.43","0.02","0.09","0","0.49","32","4","0.04","0","0.37","68.42","1.57","58.75","0.67","0.22","0.22","19.09","65.91","12.78","58.9","5.9","41.53","0.01","0.02","0.04","5.02","48.05","0.35","22.22","0.14","6.41","58.41"
"J. Dixon","League Two 20-21.","Barrow","GK","32","0","","46","4532","0","0","0","0","England","right","193","2.07","0.02","100","0.36","94.44","0","2.88","0.06","0","0","0","0","0","0","0","0","0.06","100","0.16","87.5","0","0","0.02","18.73","81.65","13.13","76.4","9.23","66.24","0","0","0","3.87","64.62","0.2","0","0","7.41","78.55"
"J. Sheehan","League Two 20-21.","Newport County","DMF, RCMF","30","400000","2027-06-30","46","4518","3","3.6","2","3.45","Wales","right","184","6.57","4.76","60.25","1.89","37.89","0.06","5.03","2.45","0.04","0.07","0","1.16","29.31","5.172","0.8","37.5","2.55","60.94","5.44","55.31","0.74","2.23","1.45","41.08","84.43","12.23","68.89","6.43","57.89","0.07","0.62","0.18","7.77","69.74","1.85","45.16","0.74","6.35","77.74"
"B. Tozer","League Two 20-21.","Cheltenham Town","CB","35","100000","","46","4486","2","1.92","1","5.58","England","right","185","8.27","3.79","67.72","3.67","62.84","0.72","8.35","0.76","0.04","0.04","0","0.2","50","20","0.78","43.59","0.74","40.54","1.67","34.94","0.42","0.48","0.06","41.73","76.39","21.05","64.44","13.28","56.65","0.11","0.04","0.08","8.55","51.17","1.44","44.44","0.3","11.82","69.1"
"V. Hladký","League Two 20-21.","Salford City","GK","35","400000","2026-06-30","46","4481","0","0","0","1.35","Czech Republic","right","192","2.95","0.08","100","0.64","93.75","0","4.34","0.02","0","0","0","0","0","0","0","0","0.04","50","0.16","62.5","0.02","0","0","24.18","79.9","15","70.01","11.71","61.58","0.03","0.02","0.04","5.14","57.81","0.38","31.58","0.12","8.56","77.93"
"U. Godwin-Malife","League Two 20-21.","Forest Green Rovers","RCB, RB","25","325000","2027-06-30","46","4477","0","0.27","1","1.26","England","right","180","8.02","5.43","70.37","2.51","53.6","0.28","6.29","1.71","0","0.01","0","0.08","25","0","0.94","27.66","2.23","56.76","5.53","45.82","0.4","2.81","1.97","40.97","82.78","17.13","72.18","4.56","49.34","0.03","0.4","0.08","5.65","71.17","1.41","41.43","0.28","8.42","69.69"
"L. Vigouroux","League Two 20-21.","Leyton Orient","GK","32","300000","2028-06-30","46","4469","0","0","1","0.09","England","left","194","2.03","0","0","0.44","90.91","0","3.1","0.02","0","0","0","0","0","0","0","0","0.02","100","0.2","90","0","0","0","24.81","81.41","14.7","71.23","12.1","64.39","0","0","0.04","3.91","49.48","0.16","12.5","0.02","8.38","77.16"
"Ricardo","League Two 20-21.","Bolton Wanderers","RCB, CB","30","600000","2027-06-30","46","4467","0","1.21","1","0.69","Portugal","right","196","12.15","7.47","78.98","6.31","72.84","0.54","9.4","1.17","0","0.02","0","0.18","33.33","0","0.04","0","1.29","76.56","4.31","55.14","0.3","1.09","0.54","44.47","84.23","16.32","66.05","6.25","47.74","0.01","0.2","0.06","4.84","51.67","0.64","12.5","0.12","7.13","53.11"
