League,Season,Team,Matches,Wins,Draws,Losses,Points,Expected Points,Goals For,Goals Against,Goal Difference,Avg Age,Possession %,Goals p90,xG p90,Shots p90,Shot Accuracy %,Crosses p90,Dribbles p90,Touches in Box p90,xG Against p90,Goals Against p90,Shots Against p90,Defensive Duels p90,Defensive Duels Won %,Aerial Duels p90,Aerial Duels Won %,PPDA,Passes p90,Pass Accuracy %,Through Passes p90,Passes to Final Third p90,Passes to Final Third Acc %,Long Passes p90,Long Pass Accuracy %,Progressive Passes p90,Progressive Runs p90
Albania 1,2026-27,Dinamo City,,,,,,,,,,25.6,62.2,1.84,1.5,11.25,41.0,10.7,14.57,16.23,0.95,0.92,9.59,47.77,62.5,33.2,47.2,8.08,443.73,87.5,3.87,54.77,75.4,33.93,59.8,68.42,16.78
Albania 1,2026-27,Teuta Durrës,,,,,,,,,,26.0,55.8,1.78,2.34,14.05,41.8,14.94,10.85,20.1,0.75,0.36,7.11,62.08,59.6,32.55,41.0,6.17,379.39,83.1,3.74,44.82,73.0,43.04,57.0,70.79,13.7
Albania 1,2026-27,Vllaznia Shkodër,,,,,,,,,,27.5,54.0,0.86,1.12,11.57,26.9,16.41,20.38,13.65,1.73,1.73,10.71,58.73,66.8,36.79,39.4,9.85,351.36,81.8,4.15,48.2,69.5,43.88,59.4,65.82,14.34
Albania 1,2026-27,Egnatia Rrogozhinë,,,,,,,,,,25.5,52.5,2.58,1.55,13.59,36.2,20.39,22.97,20.63,1.09,0.94,10.31,59.53,59.8,24.61,46.7,14.81,372.66,82.3,4.45,48.05,69.8,49.22,65.2,72.66,16.64
Albania 1,2026-27,AF Elbasani,,,,,,,,,,25.5,48.2,1.59,1.11,7.03,38.7,10.88,10.43,10.88,1.68,1.13,14.96,55.09,61.3,24.94,43.6,10.26,328.26,82.9,2.95,43.53,65.6,39.9,54.5,60.08,7.93
Albania 1,2026-27,Tirana,,,,,,,,,,26.2,47.4,1.86,0.83,9.77,35.7,5.58,17.21,7.91,1.12,1.63,12.56,65.58,64.9,27.91,47.5,13.79,344.65,83.3,2.09,32.56,70.0,37.91,57.1,62.56,10.23
Albania 1,2026-27,Laçi,,,,,,,,,,22.2,46.0,1.23,1.17,11.45,44.6,13.03,13.39,11.8,1.38,1.41,9.69,48.96,62.6,26.77,40.8,10.86,337.63,82.8,3.7,48.61,68.1,44.38,56.0,56.18,10.74
Albania 1,2026-27,Skënderbeu Korçë,,,,,,,,,,24.5,44.3,0.91,1.41,10.89,33.3,13.97,16.33,14.33,1.15,1.27,11.25,61.69,60.9,35.02,44.6,10.31,295.77,80.6,3.45,41.37,67.1,35.38,53.8,62.96,11.79
Albania 1,2026-27,Vora,,,,,,,,,,24.3,43.7,0.56,0.88,9.48,35.3,10.41,17.85,12.46,1.44,1.86,10.6,63.04,56.3,33.29,47.5,9.68,260.89,80.3,5.02,37.75,66.5,39.61,61.5,52.44,10.23
Albania 1,2026-27,Partizani Tirana,,,,,,,,,,23.5,43.6,1.53,0.96,10.7,28.6,12.23,16.6,14.2,1.8,1.75,15.51,48.93,62.1,27.31,51.2,15.89,282.67,79.8,6.12,40.19,63.6,37.57,54.1,54.39,13.11
